TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
218788321,True,3.653329,3.265654,3.93318,3.245561
218788321,True,4.425515,2.34704,2.382409,2.382409
218788322,True,0.229688,1.048596,1.083689,1.118988
218788322,True,0.339096,2.241348,2.893254,2.329563
218788322,True,0.38107,0.451118,2.106136,3.181086
218788322,True,0.542223,1.493383,1.915877,1.95097
218788322,True,2.037395,3.058949,0.046997,2.337269
218788322,True,2.741459,3.287398,4.327254,1.29755
218788322,True,2.879561,1.663895,3.389856,0.571329
218788322,True,3.003832,3.426256,4.042175,2.967844
218788322,True,3.813106,1.329547,2.280432,1.663413
218788322,True,4.081809,0.734478,0.893498,2.461815
218788322,True,4.214131,2.435117,2.329563,2.364793
218788323,True,0.150075,2.369266,3.707139,0.853588
218788323,True,0.363798,3.992494,2.424176,1.772546
218788323,True,0.674063,0.303659,2.769947,2.400024
218788323,True,1.418312,3.989741,4.112292,0.290034
218788323,True,2.334654,2.281052,4.024353,1.171284
175235999,True,3.100303,0.003165,0.0,0.0
175235999,True,1.048664,1.083826,1.118988,1.110112
218788323,True,3.078835,2.37422,0.788494,1.211125
218788323,True,3.941987,0.876846,4.311566,1.070202
218788323,True,4.435217,0.665462,2.67203,2.285387
218788324,True,0.430751,0.624176,0.994236,2.544456
218788324,True,0.751956,2.63618,0.416025,4.027931
218788324,True,0.822692,1.878926,0.786567,2.531176
218788324,True,1.225644,2.863872,0.591147,3.374374
218788324,True,1.452854,0.008188,0.74652,4.163968
218788324,True,1.47047,0.799779,0.445545,1.909684
218788324,True,2.002096,3.059293,4.292161,2.336719
218788324,True,2.631982,3.847305,0.481188,3.880471
218788324,True,3.157209,2.382271,2.329563,2.347178
218788324,True,3.409536,0.855721,3.885701,1.225093
218788324,True,3.533806,3.251479,4.414162,3.533738
218788324,True,3.848819,1.047563,2.173983,2.509019
218788324,True,4.073208,3.192578,3.386484,2.417639
218788324,True,4.100526,1.933836,0.34811,1.915739
218788325,True,0.431026,3.901389,1.523109,4.059446
218788325,True,1.395673,2.382271,2.294332,2.400024
218788325,True,1.888903,2.382271,2.294332,2.364793
218788325,True,1.924134,4.143807,2.294332,2.400024
218788325,True,2.459545,0.767988,4.026073,3.269025
218788325,True,2.528148,3.620232,1.628733,3.5839
218788325,True,2.703958,2.334173,1.96425,0.519447
218788325,True,3.198495,2.757698,2.475715,1.119608
218788325,True,3.8632,3.03459,3.826868,2.400024
218788325,True,4.359389,3.689799,2.491679,3.337285
218788325,True,4.37549,2.629505,0.022019,4.003091
218788326,True,0.095921,0.500524,3.106703,3.917422
218788326,True,0.290447,0.219091,2.03306,4.41196
218788326,True,0.452632,1.157384,1.93129,2.635905
218788326,True,0.550136,2.364656,2.311947,2.382409
218788326,True,0.673443,2.417502,2.311947,2.329563
218788326,True,0.749891,3.285815,2.828504,3.780009
218788326,True,1.806056,0.378799,0.378661,3.003556
218788326,True,2.214031,3.516879,3.429009,0.206017
218788326,True,2.476334,1.543133,0.380313,1.331129
218788326,True,2.61822,0.680393,2.229994,4.026968
218788326,True,4.39861,3.271227,4.080227,2.952981
218788327,True,0.084223,2.550374,0.84134,3.16643
218788327,True,1.12353,1.475768,3.76549,0.858818
218788327,True,1.662656,0.763103,0.97318,2.400024
218788327,True,2.335618,1.788991,3.743539,4.448566
175236999,True,0.0,0.003028,0.0,0.0
175236999,True,1.048664,1.083758,1.119126,1.110318
218788327,True,3.637297,2.157813,2.051777,2.650217
218788328,True,0.308888,2.246165,3.091358,2.845018
218788328,True,1.97698,2.417502,2.294332,2.364793
218788328,True,2.740565,0.045483,1.612769,2.599091
218788328,True,3.636402,2.877015,1.34324,2.560558
218788329,True,1.364984,1.189037,1.43517,0.853382
218788329,True,2.493262,3.356483,0.854139,1.664239
218788329,True,2.860225,1.767522,0.675989,4.410377
218788329,True,3.427082,2.915342,3.724961,2.404359
218788329,True,3.425155,0.780787,0.88641,0.904026
218788329,True,3.481304,4.115251,2.671067,3.675349
218788329,True,3.974328,0.662503,1.225988,3.551353
218788329,True,4.13149,2.264124,4.325465,1.788785
218788329,True,4.149243,4.325259,2.053153,0.92577
218788329,True,4.355054,2.34704,2.276716,2.400024
218788330,True,0.945862,3.130786,0.229688,2.916512
218788330,True,2.594343,1.061119,2.364793,2.417639
218788330,True,2.883552,1.280898,4.452489,1.986132
218788330,True,3.016562,1.836195,2.347178,2.523332
218788330,True,3.353249,0.991208,4.39056,2.505716
218788330,True,3.72613,2.633772,1.911679,0.379143
218788331,True,0.620597,2.34704,2.347178,2.347178
218788331,True,0.929761,3.202142,1.140801,1.352048
218788331,True,1.031393,1.418793,3.443596,3.989604
218788331,True,1.332024,2.28346,2.653795,1.191583
218788331,True,1.506939,0.519997,4.464874,1.80523
175237999,True,0.284598,0.001858,0.0,0.0
175237999,True,1.048664,1.083826,1.118988,1.110387
218788331,True,2.139303,1.609741,3.458872,1.997761
218788331,True,2.247403,1.0316,2.140541,2.73967
218788331,True,2.593518,2.364656,2.311947,2.382409
218788331,True,2.913347,0.341366,0.797852,2.241761
218788331,True,3.165398,1.808327,2.81254,0.681701
218788332,True,0.255629,3.479446,0.229688,2.294469
218788332,True,0.415544,3.25141,0.221775,4.291129
218788332,True,0.50073,0.818013,1.944708,2.2077
218788332,True,1.104125,3.95685,1.526687,0.382171
218788332,True,1.226676,3.498025,2.193594,4.06151
218788332,True,1.521664,2.226141,2.470967,3.24563
218788332,True,1.576162,3.848337,3.618993,2.192149
218788332,True,1.979664,3.670945,1.363677,2.647946
218788332,True,2.071456,4.361591,0.221155,3.09239
218788332,True,2.670034,2.952362,4.272826,3.003969
218788332,True,2.685379,2.931719,4.094195,0.923155
218788332,True,3.146131,1.788922,2.492573,1.312757
218788332,True,3.738516,2.34704,2.347178,2.347178
218788333,True,0.021675,2.382271,2.329563,2.400024
218788333,True,0.486968,2.018541,1.948974,0.909943
218788333,True,1.070684,2.814604,1.281724,3.413114
218788333,True,1.328515,0.851386,0.638488,2.417639
218788333,True,1.966659,3.093698,1.525105,3.128515
218788333,True,2.157675,3.461074,3.090601,1.540381
218788333,True,2.336375,4.23787,3.974397,2.318966
218788333,True,2.356536,1.828006,3.693927,1.298582
