TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
203179.0,7.0,nan,nan,nan,nan,nan,nan,nan,2.95277472,nan,nan,nan,nan,nan,nan,nan,nan,22.0,0.0,0.0
204179.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9963688,nan,nan,nan,nan,nan,nan,nan,22.0,0.0,0.0
205179.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,25.0,0.0,0.0
206179.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,nan,nan,nan,nan,nan,24.0,0.0,0.0
207179.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,21.0,0.0,0.0
208179.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
209179.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
210179.0,2.0,nan,nan,18.203920000000018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
211179.0,3.0,nan,nan,nan,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,0.0,0.0
212179.0,4.0,nan,nan,nan,nan,1.18463296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,0.0,0.0
213179.0,5.0,nan,nan,nan,nan,nan,2.1248528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,0.0,0.0
214179.0,6.0,nan,nan,nan,nan,nan,nan,0.36992256,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
215179.0,7.0,nan,nan,nan,nan,nan,nan,nan,2.95277472,nan,nan,nan,nan,nan,nan,nan,nan,24.0,0.0,0.0
216179.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.99967168,nan,nan,nan,nan,nan,nan,nan,24.0,0.0,0.0
217179.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,29.0,0.0,0.0
217345.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.33700976,2.0,0.0,0.0
218345.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,32.0,0.0,0.0
219345.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,43.0,0.0,0.0
220345.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
221345.0,1.0,nan,-268.59616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
222345.0,2.0,nan,nan,18.203920000000018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
223345.0,3.0,nan,nan,nan,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,0.0,0.0
224345.0,4.0,nan,nan,nan,nan,1.19564256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
225345.0,5.0,nan,nan,nan,nan,nan,2.36816496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
226345.0,6.0,nan,nan,nan,nan,nan,nan,0.36992256,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
227345.0,7.0,nan,nan,nan,nan,nan,nan,nan,3.31499056,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
228345.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1.02279184,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
229345.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
230345.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,28.0,0.0,0.0
231345.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,31.0,0.0,0.0
232345.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
233345.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,0.0,0.0
234345.0,2.0,nan,nan,18.314016000000024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,0.0,0.0
235345.0,3.0,nan,nan,nan,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
236345.0,4.0,nan,nan,nan,nan,1.21545984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
237345.0,5.0,nan,nan,nan,nan,nan,2.36816496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
238345.0,6.0,nan,nan,nan,nan,nan,nan,0.36992256,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
239345.0,7.0,nan,nan,nan,nan,nan,nan,nan,3.3138896,nan,nan,nan,nan,nan,nan,nan,nan,24.0,0.0,0.0
240345.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1.01948896,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
241345.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
242345.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,35.0,0.0,0.0
