TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
12999,False,0.0,6.9e-05,0.0,0.0
12999,True,1.076436,1.112152,1.150139,1.141055
13999,False,0.288412,6.9e-05,0.0,0.0
13999,True,1.076573,1.112083,1.15007,1.140986
14999,False,0.744531,6.9e-05,0.0,0.0
14999,True,1.076436,1.112014,1.149794,1.140779
15999,False,0.845623,6.9e-05,0.0,0.0
15999,True,1.076367,1.112083,1.149932,1.140779
16999,False,1.200857,6.9e-05,0.0,0.0
16999,True,1.076367,1.111876,1.15007,1.140917
17999,False,1.418662,6.9e-05,0.0,0.0
17999,True,1.076367,1.111945,1.15007,1.140779
18999,False,1.714369,6.9e-05,0.0,0.0
18999,True,1.076229,1.112014,1.149863,1.140917
19999,False,1.973327,6.9e-05,0.0,0.0
19999,True,1.076229,1.112014,1.149794,1.141192
20999,False,2.305782,6.9e-05,0.0,0.0
20999,True,1.076229,1.112014,1.149863,1.140986
21999,False,2.53687,6.9e-05,0.0,0.0
21999,True,1.076229,1.111807,1.149794,1.140986
22999,False,2.819088,6.9e-05,0.0,0.0
22999,True,1.075954,1.111739,1.149657,1.140848
23999,False,3.100619,6.9e-05,0.0,0.0
23999,True,1.076091,1.111739,1.149863,1.140848
24999,False,0.0,6.9e-05,0.0,0.0
24999,True,1.076091,1.111807,1.149657,1.141055
25999,False,0.285178,6.9e-05,0.0,0.0
25999,True,1.075954,1.111807,1.149726,1.140848
26999,False,0.7446,6.9e-05,0.0,0.0
26999,True,1.076091,1.111532,1.149519,1.140779
27999,False,0.845623,6.9e-05,0.0,0.0
27999,True,1.076023,1.111601,1.149726,1.140642
28999,False,1.200237,6.9e-05,0.0,0.0
28999,True,1.075954,1.111532,1.149657,1.140642
29999,False,1.418662,6.9e-05,0.0,0.0
29999,True,1.076091,1.111739,1.149519,1.140711
30999,False,1.714369,6.9e-05,0.0,0.0
30999,True,1.075816,1.111463,1.149657,1.140779
31999,False,1.973327,6.9e-05,0.0,0.0
31999,True,1.075816,1.11167,1.14945,1.140573
32999,False,2.305989,6.9e-05,0.0,0.0
32999,True,1.075816,1.111601,1.149726,1.140573
33999,False,2.53687,6.9e-05,0.0,0.0
33999,True,1.075747,1.111463,1.149657,1.140779
34999,False,2.819088,6.9e-05,0.0,0.0
34999,True,1.075885,1.111532,1.149588,1.140435
35999,False,3.100619,6.9e-05,0.0,0.0
35999,True,1.075885,1.111532,1.14945,1.140435
36999,False,0.0,6.9e-05,0.0,0.0
36999,True,1.075954,1.111326,1.14945,1.140642
37999,False,0.284902,6.9e-05,0.0,0.0
37999,True,1.075885,1.111532,1.149657,1.140504
38999,False,0.744669,6.9e-05,0.0,0.0
38999,True,1.075747,1.111326,1.149588,1.140504
39999,False,0.845623,6.9e-05,0.0,0.0
39999,True,1.075816,1.111395,1.149519,1.140435
40999,False,1.200375,6.9e-05,0.0,0.0
40999,True,1.075816,1.111257,1.149657,1.140435
41999,False,1.418662,6.9e-05,0.0,0.0
41999,True,1.075472,1.111463,1.149313,1.140435
42999,False,1.7143,6.9e-05,0.0,0.0
42999,True,1.075679,1.111257,1.149519,1.140504
43999,False,1.973327,6.9e-05,0.0,0.0
43999,True,1.075816,1.111601,1.149106,1.140504
44999,False,2.305989,6.9e-05,0.0,0.0
44999,True,1.075816,1.111395,1.149313,1.140229
45999,False,2.53687,6.9e-05,0.0,0.0
45999,True,1.075885,1.111532,1.149313,1.140229
46999,False,2.819088,6.9e-05,0.0,0.0
46999,True,1.075679,1.111463,1.149037,1.140435
47999,False,3.100619,6.9e-05,0.0,0.0
47999,True,1.07561,1.111326,1.149382,1.140435
48999,False,0.0,6.9e-05,0.0,0.0
48999,True,1.07561,1.111326,1.14945,1.140435
49999,False,0.284834,6.9e-05,0.0,0.0
49999,True,1.075679,1.111326,1.149175,1.140435
50999,False,0.744669,6.9e-05,0.0,0.0
50999,True,1.075747,1.111257,1.149313,1.140367
51999,False,0.845623,6.9e-05,0.0,0.0
51999,True,1.07561,1.111188,1.149382,1.139954
52999,False,1.201132,6.9e-05,0.0,0.0
52999,True,1.075403,1.111257,1.149244,1.14016
53999,False,1.418662,6.9e-05,0.0,0.0
53999,True,1.07561,1.111188,1.149244,1.14016
54999,False,1.714369,6.9e-05,0.0,0.0
54999,True,1.07561,1.111257,1.149175,1.140229
55999,False,1.973327,6.9e-05,0.0,0.0
55999,True,1.07561,1.111119,1.149313,1.139885
56999,False,2.305851,6.9e-05,0.0,0.0
56999,True,1.075679,1.110982,1.149037,1.139816
57999,False,2.53687,6.9e-05,0.0,0.0
57999,True,1.075334,1.11105,1.149175,1.140022
58999,False,2.819088,6.9e-05,0.0,0.0
58999,True,1.075541,1.111326,1.149175,1.14016
59999,False,3.100619,6.9e-05,0.0,0.0
59999,True,1.075541,1.111188,1.149106,1.140298
60999,False,0.0,6.9e-05,0.0,0.0
