Timestamp,Channel1,Channel2,Channel3,Channel4
174318852,3.5321E+0,3.5275E+0,3.3328E+0,3.4099E+0,
174318869,1.0494E+0,1.0844E+0,1.1197E+0,1.1110E+0,
174318890,2.3747E+0,2.4521E+0,2.4123E+0,2.3081E+0,
174318910,2.6054E+0,2.6821E+0,2.8525E+0,2.6407E+0,
174318947,1.6840E+0,1.1389E+0,1.1803E+0,1.4858E+0,
174318977,3.5305E+0,3.5235E+0,3.4394E+0,3.4082E+0,
174318979,2.3378E+0,2.4257E+0,2.3009E+0,2.1618E+0,
174318999,1.0494E+0,1.0844E+0,1.1199E+0,1.1111E+0,
174319037,3.5288E+0,3.5229E+0,3.4432E+0,3.4112E+0,
174319059,1.0974E+0,1.0846E+0,1.1197E+0,1.1111E+0,
174319071,1.0491E+0,1.0845E+0,1.1199E+0,1.1110E+0,
174319090,1.0494E+0,1.0844E+0,1.1197E+0,1.1109E+0,
174319116,3.5019E+0,3.3363E+0,3.4386E+0,3.4082E+0,
174319131,1.0494E+0,1.0844E+0,1.1197E+0,1.1110E+0,
174319136,2.7768E+0,2.8617E+0,2.7640E+0,2.6909E+0,
174319161,3.4811E+0,3.4888E+0,3.4396E+0,3.4116E+0,
174319174,1.0497E+0,1.0846E+0,1.1197E+0,1.1111E+0,
174319204,2.8379E+0,2.6848E+0,2.3756E+0,2.4995E+0,
174319218,2.9931E+0,3.0883E+0,3.1900E+0,3.1430E+0,
174319291,3.0349E+0,2.7854E+0,2.5157E+0,2.7190E+0,
174319296,2.0762E+0,2.0406E+0,1.9560E+0,1.9453E+0,
174319301,3.3274E+0,3.2739E+0,3.1642E+0,3.2750E+0,
174319367,2.2325E+0,2.1823E+0,2.1258E+0,2.1229E+0,
174319375,2.3141E+0,2.3053E+0,2.2849E+0,2.2464E+0,
174319398,3.0026E+0,2.9670E+0,2.5852E+0,2.6355E+0,
174319406,3.5305E+0,3.5262E+0,3.4447E+0,3.4132E+0,
174319438,1.9046E+0,1.7132E+0,1.7756E+0,1.8533E+0,
174319450,2.8231E+0,2.9681E+0,2.9994E+0,2.8822E+0,
174319484,2.3955E+0,2.4923E+0,2.4015E+0,2.2700E+0,
174319566,2.3795E+0,2.2242E+0,2.2074E+0,2.2971E+0,
174319612,2.9905E+0,3.1943E+0,3.1068E+0,2.9554E+0,
174319627,1.0497E+0,1.0846E+0,1.1197E+0,1.1110E+0,
174319633,3.0724E+0,3.2814E+0,3.2160E+0,3.0771E+0,
174319643,2.4167E+0,2.3121E+0,2.3986E+0,2.4472E+0,
174319683,1.0491E+0,1.0846E+0,1.1200E+0,1.1109E+0,
174319706,2.5046E+0,2.3127E+0,2.2309E+0,2.3616E+0,
174319709,2.6604E+0,2.7059E+0,2.8076E+0,2.7656E+0,
174319721,1.8482E+0,1.2355E+0,1.1987E+0,1.5964E+0,
174319722,1.0651E+0,1.0914E+0,1.1289E+0,1.1312E+0,
174319755,3.2237E+0,2.9927E+0,2.9299E+0,3.1614E+0,
174319805,1.3809E+0,1.0846E+0,1.1197E+0,1.1112E+0,
174319807,1.7072E+0,1.2161E+0,1.1197E+0,1.1115E+0,
174319814,1.8551E+0,1.7564E+0,1.2949E+0,1.2823E+0,
174319832,2.2245E+0,2.1202E+0,1.7945E+0,1.9049E+0,
174319843,2.5622E+0,2.5543E+0,2.5783E+0,2.5709E+0,
174319874,1.0493E+0,1.0845E+0,1.1198E+0,1.1110E+0,
174319890,3.5349E+0,3.5304E+0,3.4488E+0,3.4189E+0,
174319911,2.8538E+0,2.9067E+0,2.7652E+0,2.7369E+0,
174319923,1.0492E+0,1.0846E+0,1.1198E+0,1.1109E+0,
174319924,1.0848E+0,1.0823E+0,1.1246E+0,1.1096E+0,
174319999,1.0492E+0,1.0844E+0,1.1198E+0,1.1107E+0,
174320027,2.5648E+0,2.5007E+0,2.3846E+0,2.4179E+0,
174320032,1.0508E+0,1.0846E+0,1.1197E+0,1.1109E+0,
174320058,1.0493E+0,1.0846E+0,1.1197E+0,1.1110E+0,
174320061,2.5525E+0,2.4366E+0,2.2865E+0,2.3552E+0,
174320099,2.3019E+0,2.1400E+0,1.9877E+0,2.1244E+0,
174320128,1.0492E+0,1.0844E+0,1.1200E+0,1.1109E+0,
174320167,1.2903E+0,1.0852E+0,1.1197E+0,1.1109E+0,
174320168,1.1423E+0,1.0772E+0,1.1329E+0,1.1086E+0,
174320233,1.0492E+0,1.0846E+0,1.1197E+0,1.1109E+0,
174320282,1.9635E+0,1.7470E+0,1.8327E+0,1.9183E+0,
174320334,1.0691E+0,1.0846E+0,1.1197E+0,1.1110E+0,
174320416,2.8442E+0,2.7851E+0,2.8017E+0,2.8552E+0,
