Time,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
174318999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,34,0,0
174319999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,43,0,0
174320999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,33,0,0
174321999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,39,0,0
174322999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,39,0,0
174323999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,36,0,0
174324999,-273.0000E+0,-268.3755E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,51,0,0
174325999,-273.0000E+0,-268.4856E+0,31.7767E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,43,0,0
174326999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,49,0,0
174327999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2398E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,48,0,0
174328999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,48,0,0
174329999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,376.5666E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,39,0,0
174330999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,44,0,0
174331999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,828.0061E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,37,0,0
174332999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,42,0,0
174333999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,46,0,0
174334999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,32,0,0
174335999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,40,0,0
174336999,-273.0000E+0,-268.4856E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,44,0,0
174337999,-273.0000E+0,-268.3755E+0,31.6666E+0,32.9879E+0,1.2288E+0,2.2021E-3,377.6677E-3,3.3032E-3,829.1072E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,44,0,0
