TimeStamp,Channel1,Channel2,Channel3,Channel4
218788321.000,53093.000,47459.000,57160.000,47167.000
218788321.000,64315.000,34109.000,34623.000,34623.000
218788322.000,3338.000,15239.000,15749.000,16262.000
218788322.000,4928.000,32573.000,42047.000,33855.000
218788322.000,5538.000,6556.000,30608.000,46230.000
218788322.000,7880.000,21703.000,27843.000,28353.000
218788322.000,29609.000,44455.000,683.000,33967.000
218788322.000,39841.000,47775.000,62887.000,18857.000
218788322.000,41848.000,24181.000,49264.000,8303.000
218788322.000,43654.000,49793.000,58744.000,43131.000
218788322.000,55415.000,19322.000,33141.000,24174.000
218788322.000,59320.000,10674.000,12985.000,35777.000
218788322.000,61243.000,35389.000,33855.000,34367.000
218788323.000,2181.000,34432.000,53875.000,12405.000
218788323.000,5287.000,58022.000,35230.000,25760.000
218788323.000,9796.000,4413.000,40255.000,34879.000
218788323.000,20612.000,57982.000,59763.000,4215.000
218788323.000,33929.000,33150.000,58485.000,17022.000
218788323.000,44744.000,34504.000,11459.000,17601.000
218788323.000,57288.000,12743.000,62659.000,15553.000
218788323.000,64456.000,9671.000,38832.000,33213.000
218788324.000,6260.000,9071.000,14449.000,36978.000
218788324.000,10928.000,38311.000,6046.000,58537.000
218788324.000,11956.000,27306.000,11431.000,36785.000
218788324.000,17812.000,41620.000,8591.000,49039.000
218788324.000,21114.000,119.000,10849.000,60514.000
218788324.000,21370.000,11623.000,6475.000,27753.000
218788324.000,29096.000,44460.000,62377.000,33959.000
218788324.000,38250.000,55912.000,6993.000,56394.000
218788324.000,45883.000,34621.000,33855.000,34111.000
218788324.000,49550.000,12436.000,56470.000,17804.000
218788324.000,51356.000,47253.000,64150.000,51355.000
218788324.000,55934.000,15224.000,31594.000,36463.000
218788324.000,59195.000,46397.000,49215.000,35135.000
218788324.000,59592.000,28104.000,5059.000,27841.000
218788325.000,6264.000,56698.000,22135.000,58995.000
218788325.000,20283.000,34621.000,33343.000,34879.000
218788325.000,27451.000,34621.000,33343.000,34367.000
218788325.000,27963.000,60221.000,33343.000,34879.000
218788325.000,35744.000,11161.000,58510.000,47508.000
218788325.000,36741.000,52612.000,23670.000,52084.000
218788325.000,39296.000,33922.000,28546.000,7549.000
218788325.000,46483.000,40077.000,35979.000,16271.000
218788325.000,56143.000,44101.000,55615.000,34879.000
218788325.000,63354.000,53623.000,36211.000,48500.000
218788325.000,63588.000,38214.000,320.000,58176.000
218788326.000,1394.000,7274.000,45149.000,56931.000
218788326.000,4221.000,3184.000,29546.000,64118.000
218788326.000,6578.000,16820.000,28067.000,38307.000
218788326.000,7995.000,34365.000,33599.000,34623.000
