Time,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
172999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,369.9602E-3,3.3032E-3,822.5008E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
173999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,369.9602E-3,3.3032E-3,822.5008E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
174999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
175999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
176999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
177999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
178999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,6.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
179999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,6.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
180999,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,6.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.3373E+0,1,0,0
181994,-273.0000E+0,-268.2654E+0,16.0314E+0,-273.0000E+0,1.1682E+0,149.7458E-3,371.0613E-3,3.3032E-3,822.5008E-3,0.0000E+0,6.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.5415E+0,1,0,0
