Timestamp,Channel1,Channel2,Channel3,Channel4
11999,1.0771E+0,1.1128E+0,1.1508E+0,1.1419E+0,
12999,1.0771E+0,1.1128E+0,1.1508E+0,1.1417E+0,
13999,1.0772E+0,1.1127E+0,1.1507E+0,1.1416E+0,
14999,1.0771E+0,1.1127E+0,1.1505E+0,1.1414E+0,
15999,1.0770E+0,1.1127E+0,1.1506E+0,1.1414E+0,
16999,1.0770E+0,1.1125E+0,1.1507E+0,1.1416E+0,
17999,1.0770E+0,1.1126E+0,1.1507E+0,1.1414E+0,
18999,1.0769E+0,1.1127E+0,1.1505E+0,1.1416E+0,
19999,1.0769E+0,1.1127E+0,1.1505E+0,1.1419E+0,
20999,1.0769E+0,1.1127E+0,1.1505E+0,1.1416E+0,
21999,1.0769E+0,1.1125E+0,1.1505E+0,1.1416E+0,
22999,1.0766E+0,1.1124E+0,1.1503E+0,1.1415E+0,
23999,1.0767E+0,1.1124E+0,1.1505E+0,1.1415E+0,
24999,1.0767E+0,1.1125E+0,1.1503E+0,1.1417E+0,
25999,1.0766E+0,1.1125E+0,1.1504E+0,1.1415E+0,
26999,1.0767E+0,1.1122E+0,1.1502E+0,1.1414E+0,
27999,1.0766E+0,1.1122E+0,1.1504E+0,1.1413E+0,
28999,1.0766E+0,1.1122E+0,1.1503E+0,1.1413E+0,
29999,1.0767E+0,1.1124E+0,1.1502E+0,1.1414E+0,
30999,1.0764E+0,1.1121E+0,1.1503E+0,1.1414E+0,
31999,1.0764E+0,1.1123E+0,1.1501E+0,1.1412E+0,
32999,1.0764E+0,1.1122E+0,1.1504E+0,1.1412E+0,
33999,1.0764E+0,1.1121E+0,1.1503E+0,1.1414E+0,
34999,1.0765E+0,1.1122E+0,1.1503E+0,1.1411E+0,
35999,1.0765E+0,1.1122E+0,1.1501E+0,1.1411E+0,
36999,1.0766E+0,1.1120E+0,1.1501E+0,1.1413E+0,
37999,1.0765E+0,1.1122E+0,1.1503E+0,1.1412E+0,
38999,1.0764E+0,1.1120E+0,1.1503E+0,1.1412E+0,
39999,1.0764E+0,1.1120E+0,1.1502E+0,1.1411E+0,
40999,1.0764E+0,1.1119E+0,1.1503E+0,1.1411E+0,
41999,1.0761E+0,1.1121E+0,1.1500E+0,1.1411E+0,
42999,1.0763E+0,1.1119E+0,1.1502E+0,1.1412E+0,
43999,1.0764E+0,1.1122E+0,1.1498E+0,1.1412E+0,
