SolarCycle,Start(Minimum),SmoothedminimumISN(startofcycle),Maximum,SmoothedmaximumISN,Averagespotsperday,TimeofRise(years),Duration(years),Spotlessdays
Solarcycle1,1755-02,14,1761-06,144,-70,6.3,11.3,
Solarcycle2,1766-06,18.6,1769-09,193,-99,3.3,9,
Solarcycle3,1775-06,12,1778-05,264,-111,2.9,9.3,
Solarcycle4,1784-09,15.9,1788-02,235,-103,3.4,13.6,
Solarcycle5,1798-04,5.3,1805-02,82,-38,6.8,12.3,
Solarcycle6,1810-08,0,1816-05,81,-31,5.8,12.8,
Solarcycle7,1823-05,0.2,1829-11,119,-63,6.5,10.5,
Solarcycle8,1833-11,12.2,1837-03,245,-112,3.3,9.7,
Solarcycle9,1843-07,17.6,1848-02,220,-99,4.6,12.4,
Solarcycle10,1855-12,6,1860-02,186,92,4.2,11.3,561
Solarcycle11,1867-03,9.9,1870-08,234,89,3.4,11.8,942
Solarcycle12,1878-12,3.7,1883-12,124,57,5,11.3,872
Solarcycle13,1890-03,8.3,1894-01,147,65,3.8,11.8,782
Solarcycle14,1902-01,4.5,1906-02,107,54,4.1,11.5,1007
Solarcycle15,1913-07,2.5,1917-08,176,73,4.1,10.1,640
Solarcycle16,1923-08,9.4,1928-04,130,68,4.7,10.1,514
Solarcycle17,1933-09,5.8,1937-04,199,96,3.6,10.4,384
Solarcycle18,1944-02,12.9,1947-05,219,109,3.3,10.2,382
Solarcycle19,1954-04,5.1,1958-03,285,129,3.9,10.5,337
Solarcycle20,1964-10,14.3,1968-11,157,86,4.1,11.4,285
Solarcycle21,1976-03,17.8,1979-12,233,111,3.8,10.5,283
Solarcycle22,1986-09,13.5,1989-11,214,106,3.2,9.9,257
Solarcycle23,1996-08,11.2,2001-11,180,82,5.3,12.3,619
Solarcycle24,2008-12,2.2,2014-04,116,49,5.3,11,914
